state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Andaman and Nicobar Island,AN,North & Middle Andaman,8,8. Population living in households with an improved drinking-water source1 (%),92.2,90.3,1.9
Andaman and Nicobar Island,AN,North & Middle Andaman,9,9. Population living in households that use an improved sanitation facility2 (%),86.4,49.9,36.5
Andaman and Nicobar Island,AN,North & Middle Andaman,10,10. Households using clean fuel for cooking3 (%),61.3,35.5,25.8
Andaman and Nicobar Island,AN,North & Middle Andaman,11,11. Households using iodized salt (%),99.9,99.4,0.5
Andaman and Nicobar Island,AN,North & Middle Andaman,12,12. Households with any usual member covered under a health insurance/financing scheme (%),2.1,3.2,-1.1
Andaman and Nicobar Island,AN,North & Middle Andaman,13,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),30.1,,
Andaman and Nicobar Island,AN,North & Middle Andaman,14,14. Women who are literate4 (%),84.0,,
Andaman and Nicobar Island,AN,North & Middle Andaman,15,15. Women with 10 or more years of schooling (%),41.0,39.2,1.8
Andaman and Nicobar Island,AN,North & Middle Andaman,16,16. Women age 20-24 years married before age 18 years (%),15.4,24.7,-9.3
Andaman and Nicobar Island,AN,North & Middle Andaman,17,17. Births in the 5 years preceding the survey that are third or higher order (%),1.5,1.6,-0.1
Andaman and Nicobar Island,AN,North & Middle Andaman,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,6.5,-2.7
Andaman and Nicobar Island,AN,North & Middle Andaman,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),100.0,84.8,15.2
Andaman and Nicobar Island,AN,North & Middle Andaman,20,20. Any method6 (%),84.1,66.9,17.2
Andaman and Nicobar Island,AN,North & Middle Andaman,21,21. Any modern method6 (%),73.1,62.0,11.1
Andaman and Nicobar Island,AN,North & Middle Andaman,22,22. Female sterilization (%),48.3,50.0,-1.7
Andaman and Nicobar Island,AN,North & Middle Andaman,23,23. Male sterilization (%),0.6,0.0,0.6
Andaman and Nicobar Island,AN,North & Middle Andaman,24,24. IUD/PPIUD (%),6.4,3.9,2.5
Andaman and Nicobar Island,AN,North & Middle Andaman,25,25. Pill (%),7.8,2.6,5.2
Andaman and Nicobar Island,AN,North & Middle Andaman,26,26. Condom (%),9.3,5.5,3.8
Andaman and Nicobar Island,AN,North & Middle Andaman,27,27. Injectables (%),0.0,0.0,0.0
Andaman and Nicobar Island,AN,North & Middle Andaman,28,28. Total unmet need7 (%),5.8,12.2,-6.4
Andaman and Nicobar Island,AN,North & Middle Andaman,29,29. Unmet need for spacing7 (%),1.3,6.2,-4.9
Andaman and Nicobar Island,AN,North & Middle Andaman,30,30. Health worker ever talked to female non-users about family planning (%),23.2,32.0,-8.8
Andaman and Nicobar Island,AN,North & Middle Andaman,31,31. Current users ever told about side effects of current method8 (%),83.2,75.5,7.7
Andaman and Nicobar Island,AN,North & Middle Andaman,32,32. Mothers who had an antenatal check-up in the first trimester (%),74.5,83.7,-9.2
Andaman and Nicobar Island,AN,North & Middle Andaman,33,33. Mothers who had at least 4 antenatal care visits (%),79.2,95.2,-16.0
Andaman and Nicobar Island,AN,North & Middle Andaman,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),91.1,96.2,-5.1
Andaman and Nicobar Island,AN,North & Middle Andaman,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),83.7,45.5,38.2
Andaman and Nicobar Island,AN,North & Middle Andaman,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.1,27.6,-3.5
Andaman and Nicobar Island,AN,North & Middle Andaman,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,99.4,-0.2
Andaman and Nicobar Island,AN,North & Middle Andaman,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.5,78.3,14.2
Andaman and Nicobar Island,AN,North & Middle Andaman,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),1904.0,1105.0,799.0
Andaman and Nicobar Island,AN,North & Middle Andaman,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.3,,
Andaman and Nicobar Island,AN,North & Middle Andaman,42,42. Institutional births (%),97.7,95.0,2.7
Andaman and Nicobar Island,AN,North & Middle Andaman,43,43. Institutional births in public facility (%),95.0,91.5,3.5
Andaman and Nicobar Island,AN,North & Middle Andaman,44,44. Home births that were conducted by skilled health personnel10 (%),0.7,0.5,0.2
Andaman and Nicobar Island,AN,North & Middle Andaman,45,45. Births attended by skilled health personnel10 (%),98.3,95.5,2.8
Andaman and Nicobar Island,AN,North & Middle Andaman,46,46. Births delivered by caesarean section (%),12.9,14.3,-1.4
Andaman and Nicobar Island,AN,North & Middle Andaman,47,47. Births in a private health facility that were delivered by caesarean section (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,48,48. Births in a public health facility that were delivered by caesarean section (%),11.4,12.6,-1.2
Andaman and Nicobar Island,AN,North & Middle Andaman,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),,89.1,
Andaman and Nicobar Island,AN,North & Middle Andaman,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),,95.2,
Andaman and Nicobar Island,AN,North & Middle Andaman,51,51. Children age 12-23 months who have received BCG (%),,95.4,
Andaman and Nicobar Island,AN,North & Middle Andaman,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),,93.6,
Andaman and Nicobar Island,AN,North & Middle Andaman,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),,95.4,
Andaman and Nicobar Island,AN,North & Middle Andaman,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),,90.9,
Andaman and Nicobar Island,AN,North & Middle Andaman,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),,93.6,
Andaman and Nicobar Island,AN,North & Middle Andaman,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),89.6,66.9,22.7
Andaman and Nicobar Island,AN,North & Middle Andaman,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),,100.0,
Andaman and Nicobar Island,AN,North & Middle Andaman,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),,0.0,
Andaman and Nicobar Island,AN,North & Middle Andaman,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,4.9,-0.4
Andaman and Nicobar Island,AN,North & Middle Andaman,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.0,0.4,6.6
Andaman and Nicobar Island,AN,North & Middle Andaman,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,67,67. Children under age 3 years breastfed within one hour of birth15 (%),27.3,43.9,-16.6
Andaman and Nicobar Island,AN,North & Middle Andaman,68,68. Children under age 6 months exclusively breastfed16 (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,
Andaman and Nicobar Island,AN,North & Middle Andaman,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",6.5,18.3,-11.8
Andaman and Nicobar Island,AN,North & Middle Andaman,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Andaman and Nicobar Island,AN,North & Middle Andaman,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",5.9,20.7,-14.8
Andaman and Nicobar Island,AN,North & Middle Andaman,73,73. Children under 5 years who are stunted (height-for-age)18 (%),27.0,32.5,-5.5
Andaman and Nicobar Island,AN,North & Middle Andaman,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),27.0,31.7,-4.7
Andaman and Nicobar Island,AN,North & Middle Andaman,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),8.3,18.5,-10.2
Andaman and Nicobar Island,AN,North & Middle Andaman,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),42.8,33.5,9.3
Andaman and Nicobar Island,AN,North & Middle Andaman,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),0.8,2.1,-1.3
Andaman and Nicobar Island,AN,North & Middle Andaman,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),8.6,14.5,-5.9
Andaman and Nicobar Island,AN,North & Middle Andaman,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),35.9,30.0,5.9
Andaman and Nicobar Island,AN,North & Middle Andaman,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),79.3,,
